Make,Model,Vehicle Class,Body Type,Seats,Fuel Type,Battery Capacity (kWh),Electric Range (km),City MPG,Highway MPG,Combined MPG,CO2 Emissions (g/km),Drive Type,Footprint
Volkswagen Group Of,A4 quattro,Compact Cars,Car,5,Gasoline,0.0,0.0,26.0,36.0,29.0,187.03319373159184,All Wheel Drive,
Volkswagen Group Of,A4 S line quattro,Compact Cars,Car,5,Gasoline,0.0,0.0,23.0,32.0,26.0,210.64535772428448,All Wheel Drive,
Volkswagen Group Of,A5 quattro,Midsize Cars,Car,5,Gasoline,0.0,0.0,22.0,31.0,26.0,216.85908509078257,All Wheel Drive,
Volkswagen Group Of,A5 Sportback quattro,Midsize Cars,Car,5,Gasoline,0.0,0.0,26.0,36.0,29.0,187.03319373159184,All Wheel Drive,
Volkswagen Group Of,A5 Sportback S line quattro,Midsize Cars,Car,5,Gasoline,0.0,0.0,23.0,32.0,26.0,210.64535772428448,All Wheel Drive,
Volkswagen Group Of,A6 allroad quattro,Midsize Station Wagons,Wagon,5,Gasoline,0.0,0.0,22.0,30.0,25.0,221.2086942473312,All Wheel Drive,
Volkswagen Group Of,A6 quattro,Midsize Cars,Car,5,Gasoline,0.0,0.0,24.0,31.0,26.0,210.64535772428448,All Wheel Drive,
Volkswagen Group Of,A6 quattro,Midsize Cars,Car,5,Gasoline,0.0,0.0,22.0,30.0,25.0,221.2086942473312,All Wheel Drive,
Volkswagen Group Of,A7 quattro,Midsize Cars,Car,5,Gasoline,0.0,0.0,22.0,30.0,25.0,221.2086942473312,All Wheel Drive,
Volkswagen Group Of,A8 quattro,Large Cars,Car,5,Gasoline,0.0,0.0,19.0,27.0,22.0,257.24831297302,All Wheel Drive,
Volkswagen Group Of,Q3,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,22.0,29.0,25.0,223.6941851939304,All Wheel Drive,
Volkswagen Group Of,Q3 S line,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,20.0,28.0,23.0,239.8498763468254,All Wheel Drive,
Volkswagen Group Of,Q5 quattro,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,23.0,29.0,26.0,214.99496688083315,All Wheel Drive,
Volkswagen Group Of,Q5 S line quattro,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,22.0,28.0,25.0,225.55830340387985,All Wheel Drive,
Volkswagen Group Of,Q5 Sportback S line quattro,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,22.0,28.0,25.0,225.55830340387985,All Wheel Drive,
Volkswagen Group Of,Q5 Sportback TFSI quattro,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,22.0,30.0,25.0,222.4514397206308,All Wheel Drive,
Volkswagen Group Of,Q5 TFSI quattro,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,22.0,30.0,25.0,222.4514397206308,All Wheel Drive,
Volkswagen Group Of,Q7,Standard SUV 4WD,SUV,7,Gasoline,0.0,0.0,20.0,26.0,22.0,251.65595834317173,All Wheel Drive,
Volkswagen Group Of,Q7,Standard SUV 4WD,SUV,7,Gasoline,0.0,0.0,18.0,23.0,20.0,274.64674959921456,All Wheel Drive,
Volkswagen Group Of,Q8 quattro,Standard SUV 4WD,SUV,5,Gasoline,0.0,0.0,17.0,23.0,19.0,285.2100861222613,All Wheel Drive,
Volkswagen Group Of,RS 3,Subcompact Cars,Car,5,Gasoline,0.0,0.0,20.0,29.0,23.0,239.2285036101756,All Wheel Drive,
Volkswagen Group Of,RS 5 Sportback,Midsize Cars,Car,5,Gasoline,0.0,0.0,18.0,25.0,20.0,272.16125865261534,All Wheel Drive,
Volkswagen Group Of,RS 6 Avant,Midsize Station Wagons,Wagon,5,Gasoline,0.0,0.0,14.0,21.0,17.0,334.298532317596,All Wheel Drive,
Volkswagen Group Of,RS 7,Midsize Cars,Car,5,Gasoline,0.0,0.0,14.0,21.0,17.0,334.298532317596,All Wheel Drive,
Volkswagen Group Of,RS Q8 Performance,Standard SUV 4WD,SUV,5,Gasoline,0.0,0.0,14.0,20.0,16.0,339.8908869474443,All Wheel Drive,
Volkswagen Group Of,S3,Subcompact Cars,Car,5,Gasoline,0.0,0.0,23.0,31.0,26.0,213.7522214075335,All Wheel Drive,
Volkswagen Group Of,S4,Compact Cars,Car,5,Gasoline,0.0,0.0,20.0,29.0,24.0,234.25752171697715,All Wheel Drive,
Volkswagen Group Of,S5,Midsize Cars,Car,5,Gasoline,0.0,0.0,19.0,28.0,22.0,246.68497644997328,All Wheel Drive,
Volkswagen Group Of,S5 Sportback,Midsize Cars,Car,5,Gasoline,0.0,0.0,20.0,29.0,23.0,238.6071308735258,All Wheel Drive,
Volkswagen Group Of,S6,Midsize Cars,Car,5,Gasoline,0.0,0.0,19.0,27.0,22.0,253.5200765531212,All Wheel Drive,
Volkswagen Group Of,S7,Midsize Cars,Car,5,Gasoline,0.0,0.0,19.0,27.0,22.0,253.5200765531212,All Wheel Drive,
Volkswagen Group Of,S8,Large Cars,Car,5,Gasoline,0.0,0.0,15.0,24.0,18.0,311.929113798203,All Wheel Drive,
Volkswagen Group Of,SQ5,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,19.0,24.0,21.0,265.3261585494675,All Wheel Drive,
Volkswagen Group Of,SQ5,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,19.0,26.0,22.0,251.03458560652192,All Wheel Drive,
Volkswagen Group Of,SQ5 Sportback,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,19.0,24.0,21.0,265.3261585494675,All Wheel Drive,
Volkswagen Group Of,SQ5 Sportback,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,19.0,26.0,22.0,251.03458560652192,All Wheel Drive,
Volkswagen Group Of,SQ7,Standard SUV 4WD,SUV,7,Gasoline,0.0,0.0,15.0,21.0,17.0,325.59931400449875,All Wheel Drive,
Volkswagen Group Of,SQ8,Standard SUV 4WD,SUV,5,Gasoline,0.0,0.0,15.0,21.0,17.0,321.8710775845999,All Wheel Drive,
Volkswagen Group Of,Bentayga,Standard SUV 4WD,SUV,5,Gasoline,0.0,0.0,14.0,21.0,16.0,343.61912336734315,All Wheel Drive,
Volkswagen Group Of,Bentayga EWB,Standard SUV 4WD,SUV,5,Gasoline,0.0,0.0,14.0,21.0,16.0,343.61912336734315,All Wheel Drive,
Bmw,228 xDrive Gran Coupe,Compact Cars,Car,5,Gasoline,0.0,0.0,26.0,38.0,30.0,178.95534815514435,All Wheel Drive,
Bmw,230i Coupe,Subcompact Cars,Car,5,Gasoline,0.0,0.0,26.0,35.0,30.0,183.9263300483428,"2-Wheel Drive, Rear",
Bmw,230i xDrive Coupe,Subcompact Cars,Car,5,Gasoline,0.0,0.0,25.0,33.0,28.0,194.4896665713895,All Wheel Drive,
Bmw,330i Sedan,Compact Cars,Car,5,Gasoline,0.0,0.0,28.0,35.0,31.0,177.71260268184474,"2-Wheel Drive, Rear",
Bmw,330i xDrive Sedan,Compact Cars,Car,5,Gasoline,0.0,0.0,26.0,34.0,29.0,185.1690755216424,All Wheel Drive,
Bmw,430i Convertible,Subcompact Cars,Car,5,Gasoline,0.0,0.0,27.0,35.0,30.0,183.304957311693,"2-Wheel Drive, Rear",
Bmw,430i Coupe,Subcompact Cars,Car,5,Gasoline,0.0,0.0,28.0,36.0,31.0,177.09122994519493,"2-Wheel Drive, Rear",
Bmw,430i Gran Coupe,Compact Cars,Car,5,Gasoline,0.0,0.0,27.0,35.0,30.0,180.198093628444,"2-Wheel Drive, Rear",
Bmw,430i xDrive Convertible,Subcompact Cars,Car,5,Gasoline,0.0,0.0,24.0,33.0,28.0,196.35378478133893,All Wheel Drive,
Bmw,430i xDrive Coupe,Subcompact Cars,Car,5,Gasoline,0.0,0.0,27.0,34.0,30.0,182.6835845750432,All Wheel Drive,
Bmw,430i xDrive Gran Coupe,Compact Cars,Car,5,Gasoline,0.0,0.0,25.0,34.0,29.0,189.51868467819105,All Wheel Drive,
Bmw,530i Sedan,Midsize Cars,Car,5,Gasoline,0.0,0.0,28.0,35.0,31.0,177.09122994519493,"2-Wheel Drive, Rear",
Bmw,530i xDrive Sedan,Midsize Cars,Car,5,Gasoline,0.0,0.0,27.0,35.0,30.0,181.4408391017436,All Wheel Drive,
Bmw,540i xDrive Sedan,Midsize Cars,Car,5,Gasoline,0.0,0.0,26.0,33.0,28.0,190.76143015149069,All Wheel Drive,
Bmw,740i Sedan,Large Cars,Car,5,Gasoline,0.0,0.0,25.0,31.0,28.0,196.97515751798875,"2-Wheel Drive, Rear",
Bmw,740i xDrive Sedan,Large Cars,Car,5,Gasoline,0.0,0.0,24.0,31.0,27.0,202.567512147837,All Wheel Drive,
Bmw,760i xDrive Sedan,Large Cars,Car,5,Gasoline,0.0,0.0,18.0,25.0,20.0,265.3261585494675,All Wheel Drive,
Bmw,840i Convertible,Subcompact Cars,Car,5,Gasoline,0.0,0.0,21.0,29.0,24.0,228.66516708712888,"2-Wheel Drive, Rear",
Bmw,840i Coupe,Subcompact Cars,Car,5,Gasoline,0.0,0.0,21.0,29.0,24.0,228.66516708712888,"2-Wheel Drive, Rear",
Bmw,840i Gran Coupe,Midsize Cars,Car,5,Gasoline,0.0,0.0,21.0,29.0,24.0,228.66516708712888,"2-Wheel Drive, Rear",
Bmw,840i xDrive Convertible,Subcompact Cars,Car,5,Gasoline,0.0,0.0,21.0,29.0,24.0,231.7720307703779,All Wheel Drive,
Bmw,840i xDrive Coupe,Subcompact Cars,Car,5,Gasoline,0.0,0.0,21.0,29.0,24.0,231.7720307703779,All Wheel Drive,
Bmw,840i xDrive Gran Coupe,Midsize Cars,Car,5,Gasoline,0.0,0.0,21.0,29.0,24.0,231.7720307703779,All Wheel Drive,
Bmw,ALPINA B8 Gran Coupe,Midsize Cars,Car,5,Gasoline,0.0,0.0,17.0,24.0,19.0,284.58871338561147,All Wheel Drive,
Bmw,M2 Coupe,Subcompact Cars,Car,5,Gasoline,0.0,0.0,16.0,23.0,19.0,293.9093044353586,"2-Wheel Drive, Rear",
Bmw,M2 Coupe,Subcompact Cars,Car,5,Gasoline,0.0,0.0,16.0,23.0,19.0,289.55969527880995,"2-Wheel Drive, Rear",
Bmw,M235 xDrive Gran Coupe,Compact Cars,Car,5,Gasoline,0.0,0.0,24.0,33.0,27.0,199.460648464588,All Wheel Drive,
Bmw,M240i Coupe,Subcompact Cars,Car,5,Gasoline,0.0,0.0,23.0,32.0,26.0,210.64535772428448,"2-Wheel Drive, Rear",
